id,district,street,house_number,metro_station,metro_distance_min,area_m2,living_area_m2,kitchen_area_m2,rooms,floor,total_floors,house_type,wall_material,year_built,repair,balcony,ceiling_height_m,bathroom_type,has_elevator,has_parking,has_furniture,heating_type,window_view,security,deal_type,seller_type,price_rub,price_per_m2,listing_date
46,Ленинский,Гагарина,66,Северная,23,46.5,32.9,20.8,1,26,29,Блочный,Панель,1990,Требует капремонта,Лоджия,2.79,2 санузла,Да,Нет,Нет,Центральное,На улицу,Да,Аренда,Собственник,5190283,111619,2025-10-09
47,Ленинский,Молодежная,134,Южная,8,116.4,84.9,7.9,3,9,24,Монолитно-кирпичный,Кирпич,2025,Евроремонт,2 лоджии,3.07,2 санузла,Нет,Нет,Нет,Электрическое,Смешанный,Да,Аренда,Агентство,9630004,82732,2026-01-04
48,Московский,Ленина,192,Площадь Ленина,19,84.2,49.3,17.6,1,3,28,Кирпичный,Панель,2024,Евроремонт,2 лоджии,2.78,2 санузла,Нет,Нет,Нет,Центральное,На улицу,Нет,Продажа,Застройщик,11492710,136493,2025-11-17
49,Советский,Гагарина,53,Парк Культуры,34,27.0,14.9,11.0,1,2,24,Деревянный,Дерево,2003,Косметический,Балкон,2.7,Совмещенный,Да,Да,Нет,Центральное,Во двор,Да,Аренда,Агентство,5670378,210014,2025-11-05
50,Восточный,Гагарина,1,Площадь Ленина,39,155.5,87.3,19.0,3,9,29,Панельный,Газобетон,2014,Без ремонта,Балкон + лоджия,3.34,Совмещенный,Да,Да,Да,Центральное,Во двор,Да,Продажа,Агентство,35419634,227779,2026-05-20
51,Московский,Садовая,184,Северная,12,106.7,69.5,15.9,5,9,10,Панельный,Дерево,2023,Дизайнерский,Балкон + лоджия,2.56,Совмещенный,Нет,Да,Да,Центральное,Смешанный,Да,Продажа,Собственник,16122583,151102,2025-02-19
52,Западный,Советская,165,Университет,18,149.8,110.6,9.5,1,12,14,Панельный,Газобетон,2013,Без ремонта,Балкон,3.21,Раздельный,Да,Да,Да,Газовое,На улицу,Нет,Аренда,Застройщик,37414048,249760,2026-06-20
53,Центральный,Кирова,186,Университет,35,147.4,99.7,16.8,6,7,11,Деревянный,Монолит,2018,Косметический,Балкон + лоджия,3.26,2 санузла,Да,Да,Да,Центральное,Во двор,Да,Продажа,Застройщик,28561403,193768,2025-01-07
54,Северный,Строителей,196,Парк Культуры,45,156.9,108.3,5.5,2,6,9,Кирпичный,Газобетон,1963,Без ремонта,Балкон + лоджия,2.56,Совмещенный,Да,Да,Да,Центральное,Во двор,Да,Продажа,Застройщик,39651140,252716,2025-02-17
55,Центральный,Победы,66,Проспект Мира,14,88.9,51.3,18.5,6,10,24,Панельный,Монолит,1995,Евроремонт,2 лоджии,2.8,2 санузла,Нет,Нет,Да,Электрическое,Во двор,Нет,Продажа,Агентство,13660374,153660,2025-09-25
56,Восточный,Советская,196,Площадь Ленина,37,97.2,57.7,19.7,1,2,19,Панельный,Монолит,1994,Дизайнерский,Нет,2.89,Раздельный,Да,Нет,Нет,Газовое,На реку,Да,Аренда,Собственник,11145049,114661,2026-06-21
57,Кировский,Кирова,191,Автозаводская,32,91.8,52.5,15.8,1,8,26,Блочный,Кирпич,1971,Евроремонт,Балкон,2.79,Раздельный,Нет,Нет,Да,Электрическое,На улицу,Нет,Продажа,Застройщик,21537014,234608,2025-04-08
58,Южный,Садовая,113,Проспект Мира,34,126.4,85.9,10.9,3,23,23,Деревянный,Панель,1977,Косметический,Лоджия,3.26,Раздельный,Да,Да,Нет,Газовое,На реку,Да,Продажа,Собственник,37609056,297540,2025-11-28
59,Восточный,Кирова,39,Спортивная,17,106.0,65.7,9.0,2,11,27,Монолитный,Монолит,1971,Дизайнерский,Лоджия,3.37,Совмещенный,Да,Да,Нет,Автономное,На парк,Нет,Продажа,Собственник,11993794,113149,2025-04-15
60,Центральный,Лесная,63,Юбилейная,2,118.3,76.9,15.8,4,14,16,Монолитно-кирпичный,Газобетон,1976,Требует капремонта,Балкон + лоджия,3.04,Совмещенный,Да,Да,Да,Электрическое,На парк,Нет,Аренда,Застройщик,16257495,137426,2026-02-19
61,Ленинский,Ленина,160,Юбилейная,41,145.7,87.2,11.8,6,4,26,Деревянный,Панель,1978,Евроремонт,Нет,3.26,Раздельный,Нет,Да,Да,Газовое,На реку,Да,Продажа,Застройщик,19749780,135551,2026-05-10
62,Октябрьский,Победы,106,Заречная,14,94.6,53.9,14.8,5,7,29,Кирпичный,Панель,2018,Дизайнерский,2 лоджии,2.51,Совмещенный,Нет,Да,Нет,Газовое,На парк,Нет,Продажа,Собственник,19323658,204267,2026-01-14
63,Октябрьский,Пушкина,101,Заречная,17,148.5,100.3,16.5,5,4,6,Кирпичный,Панель,1971,Косметический,Нет,2.77,2 санузла,Да,Нет,Да,Автономное,Смешанный,Нет,Аренда,Агентство,19131552,128832,2026-02-15
64,Фрунзенский,Гагарина,124,Площадь Ленина,18,112.3,79.3,13.0,2,18,28,Монолитно-кирпичный,Монолит,2006,Евроремонт,Балкон,2.73,2 санузла,Нет,Нет,Нет,Электрическое,На парк,Да,Аренда,Собственник,28098695,250211,2026-03-13
65,Восточный,Мира,168,Проспект Мира,34,31.8,22.8,20.4,2,7,13,Монолитный,Газобетон,2002,Без ремонта,2 лоджии,3.02,Совмещенный,Да,Да,Нет,Газовое,На улицу,Да,Аренда,Застройщик,7504132,235979,2025-01-12
66,Московский,Садовая,172,Автозаводская,13,114.9,83.7,18.4,3,2,9,Деревянный,Кирпич,2021,Евроремонт,Балкон + лоджия,2.69,Совмещенный,Да,Нет,Нет,Центральное,На парк,Нет,Продажа,Застройщик,28910103,251611,2025-03-22
67,Фрунзенский,Советская,120,Парк Культуры,11,91.8,60.4,19.7,1,8,19,Блочный,Дерево,1999,Без ремонта,Балкон,3.13,2 санузла,Нет,Да,Да,Центральное,Смешанный,Да,Аренда,Агентство,17687381,192673,2026-05-25
68,Октябрьский,Пушкина,73,Юбилейная,7,28.6,19.8,15.6,3,5,28,Монолитный,Дерево,2004,Евроремонт,2 лоджии,2.93,Совмещенный,Нет,Нет,Нет,Электрическое,На парк,Нет,Аренда,Застройщик,4560899,159472,2026-06-23
69,Центральный,Кирова,186,Северная,20,113.0,80.0,10.6,3,4,15,Блочный,Газобетон,1974,Требует капремонта,Нет,3.38,Раздельный,Нет,Да,Да,Центральное,На улицу,Нет,Продажа,Застройщик,25281942,223734,2025-03-31
70,Фрунзенский,Гагарина,26,Спортивная,39,75.1,43.5,16.5,6,20,21,Панельный,Дерево,1968,Без ремонта,Нет,2.54,Раздельный,Да,Нет,Нет,Газовое,На улицу,Нет,Продажа,Агентство,9440445,125705,2026-04-14
71,Советский,Лесная,104,Заречная,37,101.0,67.2,20.5,4,4,4,Панельный,Кирпич,2024,Дизайнерский,2 лоджии,3.24,2 санузла,Да,Нет,Нет,Центральное,Во двор,Нет,Продажа,Собственник,8112623,80323,2026-03-08
72,Московский,Строителей,63,Заречная,14,82.1,45.3,16.4,1,1,24,Монолитно-кирпичный,Панель,1973,Без ремонта,Лоджия,2.93,2 санузла,Да,Да,Нет,Электрическое,На парк,Нет,Продажа,Застройщик,8522636,103808,2025-10-10
73,Ленинский,Строителей,16,Парк Культуры,6,32.2,23.4,16.7,5,1,5,Монолитный,Газобетон,2007,Дизайнерский,Балкон + лоджия,2.78,2 санузла,Да,Да,Да,Газовое,На улицу,Нет,Аренда,Агентство,4879684,151543,2025-06-19
74,Советский,Лесная,4,Спортивная,19,85.6,51.7,17.8,3,26,28,Деревянный,Монолит,1993,Требует капремонта,Балкон + лоджия,3.06,Совмещенный,Нет,Нет,Нет,Автономное,На парк,Нет,Продажа,Агентство,7352611,85895,2025-12-07
75,Западный,Молодежная,176,Заречная,19,81.5,54.4,18.9,1,5,12,Монолитный,Газобетон,1976,Без ремонта,2 лоджии,3.3,2 санузла,Нет,Нет,Да,Автономное,Смешанный,Да,Аренда,Агентство,23047874,282796,2025-05-31
76,Восточный,Кирова,149,Северная,30,149.9,100.0,5.2,4,7,26,Монолитный,Газобетон,1969,Евроремонт,Балкон + лоджия,3.23,2 санузла,Да,Да,Да,Автономное,Во двор,Да,Аренда,Агентство,31561295,210549,2025-03-06
77,Фрунзенский,Садовая,21,Спортивная,3,72.8,51.4,19.6,2,19,22,Монолитный,Газобетон,2021,Без ремонта,Лоджия,3.28,Раздельный,Да,Да,Да,Автономное,На реку,Нет,Продажа,Агентство,12234185,168052,2026-01-16
78,Южный,Кирова,22,Площадь Ленина,9,81.9,60.5,18.0,5,9,28,Панельный,Кирпич,1990,Требует капремонта,Лоджия,2.53,2 санузла,Нет,Нет,Да,Электрическое,Во двор,Да,Аренда,Агентство,23847887,291183,2025-07-25
79,Московский,Пушкина,45,Площадь Ленина,12,111.1,82.4,16.4,4,8,22,Монолитный,Монолит,2015,Без ремонта,2 лоджии,2.64,Совмещенный,Да,Нет,Нет,Центральное,Во двор,Да,Аренда,Собственник,32523636,292742,2025-08-29
80,Ленинский,Кирова,44,Заречная,21,104.2,66.5,16.1,4,5,10,Кирпичный,Панель,2005,Без ремонта,Балкон + лоджия,2.85,2 санузла,Да,Да,Да,Автономное,Во двор,Нет,Продажа,Агентство,14314266,137373,2026-01-19
81,Южный,Победы,57,Площадь Ленина,21,138.5,93.6,12.7,3,4,7,Кирпичный,Дерево,1987,Требует капремонта,Балкон,2.6,Раздельный,Да,Нет,Нет,Электрическое,На улицу,Да,Продажа,Агентство,27032845,195183,2026-01-10
82,Центральный,Университетская,172,Университет,30,69.5,40.6,13.3,3,10,22,Деревянный,Дерево,2019,Евроремонт,Нет,2.64,Раздельный,Да,Нет,Нет,Газовое,На улицу,Да,Продажа,Агентство,6944996,99928,2026-06-10
83,Октябрьский,Гагарина,114,Площадь Ленина,10,145.9,81.9,17.4,3,7,13,Деревянный,Монолит,1960,Косметический,Лоджия,3.23,Раздельный,Да,Нет,Да,Газовое,На реку,Да,Продажа,Собственник,27122226,185896,2025-12-16
84,Южный,Строителей,172,Университет,39,120.8,71.2,6.3,1,8,20,Деревянный,Монолит,2021,Косметический,Нет,2.75,Совмещенный,Нет,Да,Нет,Газовое,Смешанный,Нет,Продажа,Собственник,32563331,269564,2025-07-30
85,Приморский,Молодежная,115,Северная,24,42.1,28.8,9.2,5,16,17,Панельный,Кирпич,1962,Евроремонт,Балкон,3.13,Раздельный,Нет,Да,Нет,Центральное,На парк,Нет,Продажа,Застройщик,4751279,112857,2025-01-05
86,Центральный,Мира,179,Университет,12,42.3,25.3,6.5,5,18,29,Монолитный,Кирпич,1979,Требует капремонта,2 лоджии,2.78,Раздельный,Да,Нет,Да,Газовое,Во двор,Да,Продажа,Агентство,4099504,96915,2025-01-31
87,Восточный,Гагарина,172,Южная,8,91.1,59.2,9.8,1,4,7,Блочный,Дерево,2009,Косметический,Нет,2.62,2 санузла,Нет,Нет,Да,Электрическое,Во двор,Нет,Аренда,Агентство,27498535,301850,2025-08-21
88,Восточный,Кирова,170,Площадь Ленина,26,121.3,87.2,14.6,3,6,11,Монолитный,Кирпич,1964,Требует капремонта,Балкон,2.97,Совмещенный,Нет,Нет,Да,Центральное,На улицу,Да,Аренда,Агентство,18821514,155165,2025-12-28
89,Фрунзенский,Молодежная,10,Южная,3,110.1,78.4,20.0,1,15,28,Панельный,Монолит,1992,Без ремонта,2 лоджии,3.11,Совмещенный,Нет,Да,Да,Газовое,Во двор,Нет,Аренда,Застройщик,34200252,310629,2025-10-07
90,Ленинский,Мира,131,Спортивная,6,32.2,23.9,20.7,3,2,9,Монолитный,Дерево,2017,Требует капремонта,Лоджия,2.98,Раздельный,Да,Да,Нет,Электрическое,На реку,Да,Аренда,Собственник,7236306,224730,2025-06-01
91,Октябрьский,Молодежная,99,Южная,20,86.7,57.2,15.4,4,12,21,Блочный,Кирпич,1961,Евроремонт,Балкон,2.8,Совмещенный,Нет,Нет,Нет,Газовое,Смешанный,Да,Аренда,Собственник,11574883,133505,2025-07-13
92,Приморский,Лесная,196,Автозаводская,43,45.6,25.7,19.8,4,1,28,Деревянный,Панель,1965,Косметический,Балкон + лоджия,2.85,Раздельный,Нет,Да,Да,Газовое,На реку,Да,Аренда,Агентство,9372031,205527,2026-03-27
93,Ленинский,Кирова,147,Спортивная,1,120.4,88.2,7.2,1,21,29,Блочный,Монолит,2010,Требует капремонта,2 лоджии,2.99,Совмещенный,Нет,Нет,Нет,Газовое,Смешанный,Нет,Аренда,Агентство,32594326,270717,2025-05-01
94,Западный,Гагарина,112,Южная,32,105.0,71.4,5.1,6,18,20,Блочный,Газобетон,2006,Косметический,Нет,2.77,Раздельный,Нет,Да,Нет,Автономное,На парк,Да,Продажа,Собственник,19572000,186400,2026-07-04
95,Кировский,Садовая,92,Площадь Ленина,35,145.8,88.9,14.1,3,10,12,Деревянный,Монолит,2013,Дизайнерский,Нет,3.24,2 санузла,Да,Да,Да,Электрическое,Смешанный,Нет,Продажа,Собственник,29983041,205645,2026-03-17
96,Приморский,Победы,94,Автозаводская,22,78.6,55.3,20.3,5,16,17,Монолитный,Газобетон,2025,Косметический,Нет,3.23,2 санузла,Нет,Нет,Нет,Автономное,На реку,Нет,Продажа,Застройщик,20882526,265681,2025-06-24
97,Западный,Лесная,177,Северная,37,48.8,33.0,15.3,3,7,10,Панельный,Монолит,1963,Дизайнерский,Нет,2.87,2 санузла,Да,Да,Да,Автономное,На парк,Нет,Продажа,Застройщик,12265148,251335,2025-01-03
98,Ленинский,Садовая,157,Юбилейная,7,105.8,61.3,13.8,5,7,10,Панельный,Кирпич,1961,Требует капремонта,Лоджия,2.57,Совмещенный,Да,Нет,Нет,Автономное,Во двор,Нет,Продажа,Застройщик,10182297,96241,2026-06-20
99,Восточный,Пушкина,12,Спортивная,26,50.1,33.8,5.3,2,3,6,Деревянный,Панель,1963,Евроремонт,Нет,2.55,Раздельный,Нет,Нет,Нет,Электрическое,Во двор,Да,Аренда,Застройщик,9280974,185249,2025-09-02
100,Кировский,Гагарина,2,Проспект Мира,2,54.1,33.1,19.9,4,19,26,Блочный,Газобетон,1989,Евроремонт,Нет,2.66,Раздельный,Нет,Нет,Нет,Центральное,Во двор,Нет,Аренда,Застройщик,5027404,92928,2026-01-02
101,Московский,Гагарина,24,Университет,18,50.0,30.3,9.0,1,7,11,Монолитный,Газобетон,1961,Косметический,2 лоджии,3.22,Раздельный,Нет,Да,Да,Газовое,Смешанный,Да,Аренда,Агентство,7975050,159501,2025-09-05
102,Советский,Садовая,151,Парк Культуры,29,52.3,38.7,13.6,2,19,24,Деревянный,Панель,1974,Дизайнерский,2 лоджии,3.14,2 санузла,Да,Да,Да,Центральное,На реку,Нет,Аренда,Собственник,16577112,316962,2025-09-25
103,Восточный,Университетская,28,Автозаводская,45,101.2,62.0,11.6,1,23,25,Деревянный,Монолит,1980,Требует капремонта,Лоджия,3.27,Совмещенный,Да,Нет,Да,Автономное,Смешанный,Да,Аренда,Агентство,27674050,273459,2025-11-25
104,Кировский,Ленина,169,Заречная,9,138.8,89.2,15.7,6,7,15,Кирпичный,Дерево,1993,Евроремонт,Нет,2.53,Совмещенный,Нет,Да,Нет,Автономное,Во двор,Нет,Продажа,Застройщик,16134112,116240,2025-12-26
105,Советский,Пушкина,146,Заречная,36,50.9,31.1,11.5,1,7,9,Монолитно-кирпичный,Газобетон,1997,Евроремонт,Балкон + лоджия,3.07,2 санузла,Нет,Да,Да,Газовое,Во двор,Да,Продажа,Застройщик,11961907,235008,2025-07-03
106,Западный,Молодежная,24,Парк Культуры,6,131.6,77.9,20.5,6,1,7,Блочный,Дерево,2011,Евроремонт,2 лоджии,3.17,2 санузла,Нет,Да,Да,Электрическое,На реку,Да,Аренда,Собственник,33177018,252105,2025-08-15
107,Приморский,Победы,106,Автозаводская,16,59.5,39.2,21.5,6,5,5,Кирпичный,Монолит,1991,Косметический,Балкон,3.37,2 санузла,Нет,Нет,Да,Автономное,Во двор,Нет,Продажа,Застройщик,8059513,135454,2025-06-22
